15	102.3	770.2213959	0.56	2.11	0.00269
15.1	102.3	776.4664139	0.56	2.11	0.00309
15.06	102.3	747.6503559	0.5	2.11	0.0022
15.1	102.3	740.2854083	0.47	2.33	0.00253
15.2	102.3	813.4593015	0.6	2.33	0.00304
15.55	102.3	805.1673749	0.63	2.33	0.00298
19.48	102.3	961.9817424	1.01	1.64	0.00269
19.83	102.3	984.5521069	1.03	1.64	0.0032
20.21	102.3	1019.066916	1.14	1.64	0.0031
20.26	102.3	846.2032487	0.88	1.64	0.00213
20.29	102.3	830.9098699	0.91	1.64	0.00146
20.31	102.3	829.3145058	0.96	1.64	0.00111
20.52	102.3	833.1465366	0.93	1.64	0.00151
21.18	102.3	1031.592979	1.19	1.64	0.00376
21.58	102.3	986.0069428	1.07	1.64	0.00461
21.82	102.3	1019.430237	1.34	1.15	0.00292
21.91	102.3	967.4310943	1.31	1.15	0.00257
22.2	102.3	1038.90178	1.29	1.15	0.00391
22.73	102.3	1024.219841	1.23	1.15	0.00476
22.95	102.3	972.7783706	1.29	1.15	0.00372
23.75	102.2	1120.378953	1.46	1.36	0.00517
23.27	102.2	1001.868538	1.14	1.36	0.00604
23.53	102.2	1060.321212	1.27	1.36	0.00603
27.3	102.2	1165.155216	2.1	1.36	0.0042
26.6	102.2	939.6156345	1.49	1.36	0.00433
26.51	102.2	1163.467048	1.89	1.36	0.00478
26.54	102.2	1032.453589	1.75	1.36	0.00402
26.58	102.2	1205.517027	2.12	1.36	0.00404
26.06	102.2	934.9272485	1.5	1.36	0.00365
25.96	102.2	1177.42885	1.86	1.36	0.00469
25.79	102.2	912.4265787	1.58	1.36	0.0027
29.28	102.1	1238.0457	2.53	1.46	0.00366
29.13	102.1	1271.103772	2.32	1.46	0.00476
29.06	102.1	1194.300433	2.23	1.46	0.00447
29.18	102.1	957.4591112	2.46	1.46	0.00079
29.06	102.1	976.5305811	2.07	1.46	0.00225
28.74	102.1	1195.05617	2.23	1.46	0.00422
28.63	102.1	1272.94964	2.7	1.46	0.00303
28.06	102.1	936.4587135	2.28	1.46	0.00057
28.33	102.1	1236.589365	2.46	1.46	0.00335
28.49	102.1	1230.187595	2.22	1.46	0.00445
28.61	102.1	1297.942144	3.15	1.89	0.00207
29.33	102.1	1288.366509	2.95	1.89	0.00284
29.76	102.1	1231.699798	3.23	2.00	0.00191
29.73	102.1	1286.679122	2.95	2.00	0.00305
30.09	102.0	1218.9107	3.26	2.46	0.00276
30.53	102.0	1227.909347	3.09	2.46	0.00355
30.99	102.0	1144.838382	2.97	2.46	0.00325
31.57	102.0	1240.230946	3.26	2.46	0.0036
